Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-25,255.0,259.0,246.07,247.63,21849400,0,0
2019-04-26,246.5,246.68,231.13,235.14,22360700,0,0
2019-04-29,235.86,243.98,232.17,241.47,16714500,0,0
2019-04-30,242.06,244.21,237.0,238.69,9464600,0,0
2019-05-01,238.85,240.0,231.5,234.01,10704400,0,0
2019-05-02,245.52,247.13,237.72,244.1,18159300,0,0
2019-05-03,243.86,256.61,243.49,255.03,23706800,0,0
2019-05-06,250.02,258.35,248.5,255.34,10833900,0,0
2019-05-07,256.8,257.21,245.1,247.06,10131400,0,0
2019-05-08,246.94,250.6,244.2,244.84,6176400,0,0
2019-05-09,242.0,243.68,236.94,241.98,6711400,0,0
2019-05-10,239.75,241.99,236.02,239.52,7008300,0,0
2019-05-13,232.01,232.47,224.5,227.01,10834800,0,0
2019-05-14,229.3,234.5,228.0,232.31,7252400,0,0
2019-05-15,229.32,232.44,225.25,231.95,7296000,0,0
2019-05-16,229.49,231.0,226.5,228.33,7483300,0,0
2019-05-17,221.96,222.24,208.92,211.03,17786700,0,0
2019-05-20,202.8,206.0,195.25,205.36,20526200,0,0
2019-05-21,197.76,207.4,196.04,205.08,18003900,0,0
2019-05-22,199.1,203.94,191.78,192.73,18685200,0,0
2019-05-23,194.34,199.47,186.22,195.49,26547100,0,0
2019-05-24,199.83,199.98,188.75,190.63,14136600,0,0
2019-05-28,191.2,195.0,187.85,188.7,10312900,0,0
2019-05-29,187.1,192.39,185.04,189.86,11968600,0,0
2019-05-30,188.75,192.26,187.02,188.22,7926500,0,0
2019-05-31,185.1,189.92,184.1,185.16,10406700,0,0
2019-06-03,185.51,186.68,176.99,178.97,13064400,0,0
2019-06-04,181.1,193.98,179.61,193.6,13807500,0,0
2019-06-05,198.68,201.28,191.85,196.59,13510800,0,0
2019-06-06,204.44,211.0,201.8,205.95,20242200,0,0
2019-06-07,205.0,210.84,203.5,204.5,16003500,0,0
2019-06-10,210.25,216.94,209.01,212.88,10585000,0,0
2019-06-11,219.14,220.9,213.5,217.1,11653500,0,0
2019-06-12,222.95,223.38,209.0,209.26,15186200,0,0
2019-06-13,210.38,214.9,207.51,213.91,8168300,0,0
2019-06-14,211.25,216.65,210.4,214.92,7433400,0,0
2019-06-17,215.48,227.0,214.27,225.03,12316800,0,0
2019-06-18,228.72,234.74,222.56,224.74,12715800,0,0
2019-06-19,225.11,227.77,221.06,226.43,6575100,0,0
2019-06-20,223.0,226.9,216.35,219.62,11863500,0,0
2019-06-21,216.22,222.18,215.5,221.86,8202100,0,0
2019-06-24,223.24,225.86,221.02,223.64,5750800,0,0
2019-06-25,224.39,225.34,219.49,219.76,6182100,0,0
2019-06-26,220.31,227.23,218.1,219.27,8507200,0,0
2019-06-27,219.45,222.9,217.35,222.84,6339700,0,0
2019-06-28,220.99,225.17,220.8,223.46,6851400,0,0
2019-07-01,230.21,233.1,226.28,227.17,8238000,0,0
2019-07-02,228.89,229.15,222.22,224.55,9259000,0,0
2019-07-03,239.39,241.57,234.51,234.9,14201100,0,0
2019-07-05,234.57,235.45,230.8,233.1,7065700,0,0
2019-07-08,231.24,232.25,228.66,230.34,5880500,0,0
2019-07-09,228.97,231.0,227.28,230.06,6190800,0,0
2019-07-10,234.15,238.94,233.14,238.92,9145700,0,0
2019-07-11,238.14,241.5,235.8,238.6,7514400,0,0
2019-07-12,239.75,245.38,239.71,245.08,9200500,0,0
2019-07-15,248.0,254.42,244.86,253.5,11000100,0,0
2019-07-16,249.3,253.53,247.93,252.38,8149000,0,0
2019-07-17,255.67,258.31,253.35,254.86,9764700,0,0
2019-07-18,255.05,255.75,251.89,253.54,4764500,0,0
2019-07-19,255.69,259.96,254.62,258.18,7048400,0,0
2019-07-22,258.75,262.15,254.19,255.68,6842400,0,0
2019-07-23,256.71,260.48,254.5,260.17,5023100,0,0
2019-07-24,259.17,266.07,258.16,264.88,11072800,0,0
2019-07-25,233.5,234.5,225.55,228.82,22418300,0,0
2019-07-26,226.92,230.26,222.25,228.04,10027700,0,0
2019-07-29,227.09,235.94,226.03,235.77,9273300,0,0
2019-07-30,232.9,243.36,232.18,242.26,8109000,0,0
2019-07-31,243.0,246.68,236.65,241.61,9178200,0,0
2019-08-01,242.65,244.51,231.77,233.85,8259500,0,0
2019-08-02,231.35,236.27,229.23,234.34,6136500,0,0
2019-08-05,229.6,231.37,225.78,228.32,7028300,0,0
2019-08-06,231.88,232.5,225.75,230.75,5564200,0,0
2019-08-07,226.5,233.57,225.8,233.42,4776500,0,0
2019-08-08,234.45,239.8,232.65,238.3,5274300,0,0
2019-08-09,236.05,238.96,233.81,235.01,3898200,0,0
2019-08-12,232.99,235.77,228.75,229.01,4663900,0,0
2019-08-13,228.81,236.0,227.55,235.0,4848100,0,0
2019-08-14,231.21,231.5,216.69,219.62,9562600,0,0
2019-08-15,220.86,221.56,211.55,215.64,8159600,0,0
2019-08-16,216.66,222.24,216.02,219.94,5098500,0,0
2019-08-19,224.21,227.83,221.7,226.83,5309600,0,0
2019-08-20,227.62,229.09,224.54,225.86,4125200,0,0
2019-08-21,222.01,223.22,217.6,220.83,7794300,0,0
2019-08-22,222.8,225.4,218.22,222.15,6559000,0,0
2019-08-23,219.97,221.17,211.0,211.4,8538600,0,0
2019-08-26,213.6,215.02,211.54,215.0,5051900,0,0
2019-08-27,215.74,218.8,212.03,214.08,5416200,0,0
2019-08-28,213.69,217.25,212.31,215.59,3225500,0,0
2019-08-29,219.0,223.4,218.0,221.71,5179500,0,0
2019-08-30,229.15,232.44,224.21,225.61,9320600,0,0
2019-09-03,224.08,228.95,223.16,225.01,5354100,0,0
2019-09-04,226.89,228.46,219.21,220.68,5761000,0,0
2019-09-05,222.5,229.8,220.85,229.58,7395300,0,0
2019-09-06,227.2,229.64,225.17,227.45,4189400,0,0
2019-09-09,230.0,233.76,229.23,231.79,4802700,0,0
2019-09-10,230.8,235.54,228.94,235.54,4883700,0,0
2019-09-11,237.38,248.17,236.0,247.1,10042800,0,0
2019-09-12,247.7,253.5,244.4,245.87,8581200,0,0
2019-09-13,246.96,248.45,244.87,245.2,5313100,0,0
2019-09-16,246.0,247.43,241.17,242.81,4728100,0,0
2019-09-17,242.47,245.6,240.37,244.79,3865400,0,0
2019-09-18,245.0,248.17,242.37,243.49,4170200,0,0
2019-09-19,246.0,247.94,244.84,246.6,4795800,0,0
2019-09-20,246.49,246.95,238.16,240.62,6353000,0,0
2019-09-23,240.0,245.18,239.22,241.23,4340200,0,0
2019-09-24,241.52,241.99,222.61,223.21,12891500,0,0
2019-09-25,224.56,228.98,218.36,228.7,9427100,0,0
2019-09-26,230.66,243.31,227.4,242.56,11884500,0,0
2019-09-27,242.2,248.71,238.73,242.13,11116400,0,0
2019-09-30,243.0,243.98,236.11,240.87,5879800,0,0
2019-10-01,241.5,245.95,239.13,244.69,6162600,0,0
2019-10-02,243.29,244.65,239.43,243.13,5631400,0,0
2019-10-03,231.86,234.48,224.28,233.03,15084500,0,0
2019-10-04,231.61,234.78,228.07,231.43,7995000,0,0
2019-10-07,229.8,238.56,228.55,237.72,8064200,0,0
2019-10-08,235.87,243.94,234.5,240.05,8678200,0,0
2019-10-09,241.32,247.3,240.65,244.53,6894400,0,0
2019-10-10,245.28,249.28,241.58,244.74,6283300,0,0
2019-10-11,247.15,251.08,246.81,247.89,8475400,0,0
2019-10-14,247.9,258.55,247.13,256.96,10205000,0,0
2019-10-15,257.7,260.0,254.12,257.89,6432800,0,0
2019-10-16,257.39,262.1,256.92,259.75,6684100,0,0
2019-10-17,262.5,264.78,260.17,261.97,4769300,0,0
2019-10-18,260.7,262.8,255.1,256.95,5749800,0,0
2019-10-21,258.33,259.5,250.18,253.5,5020300,0,0
2019-10-22,254.32,258.33,250.85,255.58,4600800,0,0
2019-10-23,254.5,256.14,251.35,254.68,5261100,0,0
2019-10-24,298.37,304.93,289.2,299.68,29720900,0,0
2019-10-25,297.72,330.0,296.11,328.13,29982400,0,0
2019-10-28,327.54,340.84,322.6,327.71,18870300,0,0
2019-10-29,319.99,324.3,314.75,316.22,12684300,0,0
2019-10-30,313.0,318.79,309.97,315.01,9641800,0,0
2019-10-31,313.1,319.0,313.0,314.92,5067000,0,0
2019-11-01,316.32,316.48,309.8,313.31,6383900,0,0
2019-11-04,314.8,321.94,309.26,317.47,8787000,0,0
2019-11-05,319.62,323.51,316.12,317.22,6943400,0,0
2019-11-06,318.0,326.72,314.5,326.58,7940900,0,0
2019-11-07,329.14,341.5,328.02,335.54,14467300,0,0
2019-11-08,334.5,337.46,332.5,337.14,6069200,0,0
2019-11-11,343.95,349.19,342.0,345.09,9986700,0,0
2019-11-12,346.9,350.37,344.04,349.93,7359400,0,0
2019-11-13,355.0,356.33,345.18,346.11,8420100,0,0
2019-11-14,346.11,353.84,342.91,349.35,6464900,0,0
2019-11-15,350.64,352.8,348.36,352.17,4809000,0,0
2019-11-18,352.92,353.15,346.1,349.99,4400400,0,0
2019-11-19,351.75,359.99,347.8,359.52,7724800,0,0
2019-11-20,360.0,361.2,349.57,352.22,6725100,0,0
2019-11-21,354.51,360.84,354.0,354.83,6110000,0,0
2019-11-22,340.16,341.0,330.0,333.04,16870600,0,0
2019-11-25,344.32,344.57,334.46,336.34,12339500,0,0
2019-11-26,335.27,335.5,327.1,328.92,7947400,0,0
2019-11-27,331.12,333.93,328.57,331.29,5555600,0,0
2019-11-29,331.11,331.26,327.5,329.94,2465600,0,0
2019-12-02,329.4,336.38,328.69,334.87,6074500,0,0
2019-12-03,332.62,337.91,332.19,336.2,6573700,0,0
2019-12-04,337.75,337.86,332.85,333.03,5533000,0,0
2019-12-05,332.83,334.42,327.25,330.37,3724600,0,0
2019-12-06,335.0,338.86,334.77,335.89,7612400,0,0
2019-12-09,336.59,344.45,335.08,339.53,9023100,0,0
2019-12-10,339.96,350.73,339.31,348.84,8828300,0,0
2019-12-11,351.88,357.19,351.09,352.7,6897800,0,0
2019-12-12,354.92,362.74,353.23,359.68,7763900,0,0
2019-12-13,361.05,365.21,354.64,358.39,6570900,0,0
2019-12-16,362.55,383.61,362.5,381.5,18174200,0,0
2019-12-17,378.99,385.5,375.9,378.99,8496800,0,0
2019-12-18,380.63,395.22,380.58,393.15,14121000,0,0
2019-12-19,397.32,406.85,396.5,404.04,18107100,0,0
2019-12-20,410.29,413.0,400.19,405.59,14752700,0,0
2019-12-23,411.78,422.01,410.0,419.22,13319600,0,0
2019-12-24,418.36,425.47,412.69,425.25,8054700,0,0
2019-12-26,427.91,433.48,426.35,430.94,10633900,0,0
2019-12-27,435.0,435.31,426.11,430.38,9945700,0,0
2019-12-30,428.79,429.0,409.26,414.7,12586400,0,0
2019-12-31,405.0,421.29,402.08,418.33,10285700,0,0
2020-01-02,424.5,430.7,421.71,430.26,9532100,0,0
2020-01-03,440.5,454.0,436.92,443.01,17778500,0,0
2020-01-06,440.47,451.56,440.0,451.54,10133000,0,0
2020-01-07,461.4,471.63,453.36,469.06,17882100,0,0
2020-01-08,473.7,498.49,468.23,492.14,31144300,0,0
2020-01-09,497.1,498.8,472.87,481.34,28440400,0,0
2020-01-10,481.79,484.94,473.7,478.15,12959500,0,0
2020-01-13,493.5,525.63,492.0,524.86,26517600,0,0
2020-01-14,544.26,547.41,524.9,537.92,28996200,0,0
2020-01-15,529.76,537.84,516.79,518.5,17368800,0,0
2020-01-16,493.75,514.46,492.17,513.49,21736700,0,0
2020-01-17,507.61,515.67,503.16,510.5,13629100,0,0
2020-01-21,530.25,548.58,528.41,547.2,17803500,0,0
2020-01-22,571.89,594.5,559.1,569.56,31369000,0,0
2020-01-23,564.25,582.0,555.6,572.2,19651000,0,0
2020-01-24,570.63,573.86,554.26,564.82,14353600,0,0
2020-01-27,541.99,564.44,539.28,558.02,13608100,0,0
2020-01-28,568.49,576.81,558.08,566.9,11788500,0,0
2020-01-29,575.69,589.8,567.43,580.99,17801500,0,0
2020-01-30,632.42,650.88,618.0,640.81,29005700,0,0
2020-01-31,640.0,653.0,632.52,650.57,15719300,0,0
2020-02-03,673.69,786.14,673.52,780.0,47233500,0,0
2020-02-04,882.96,968.99,833.88,887.06,60938800,0,0
2020-02-05,823.26,845.98,704.11,734.7,48423800,0,0
2020-02-06,699.92,795.83,687.0,748.96,39880800,0,0
2020-02-07,730.55,769.75,730.0,748.07,17063500,0,0
2020-02-10,800.0,819.99,752.4,771.28,24689200,0,0
2020-02-11,768.79,783.51,758.0,774.38,11697500,0,0
2020-02-12,777.87,789.75,763.37,767.29,12022500,0,0
2020-02-13,741.84,818.0,735.0,804.0,26289300,0,0
2020-02-14,787.22,812.97,785.5,800.03,15693700,0,0
2020-02-18,841.6,860.0,832.36,858.4,16381700,0,0
2020-02-19,923.5,944.78,901.02,917.42,25423000,0,0
2020-02-20,911.95,912.0,859.94,899.41,17634900,0,0
2020-02-21,906.98,913.06,880.45,901.0,14314800,0,0
2020-02-24,839.0,863.5,822.2,833.79,15192200,0,0
2020-02-25,849.0,856.6,787.0,799.91,17290500,0,0
2020-02-26,782.5,813.31,776.11,778.8,14085500,0,0
2020-02-27,730.0,739.77,669.0,679.0,24277200,0,0
2020-02-28,629.7,690.52,611.52,667.99,24564200,0,0
2020-03-02,711.26,743.69,686.67,743.62,20195000,0,0
2020-03-03,805.0,806.98,716.11,745.51,25784000,0,0
2020-03-04,763.96,766.52,724.73,749.5,15049000,0,0
2020-03-05,723.77,745.75,718.07,724.54,10852700,0,0
2020-03-06,690.0,707.0,684.27,703.48,12662900,0,0
2020-03-09,605.39,663.0,605.0,608.0,17073700,0,0
2020-03-10,659.43,668.0,608.0,645.33,15594400,0,0
2020-03-11,640.2,653.58,613.0,634.23,13322500,0,0
2020-03-12,580.89,594.5,546.25,560.55,18909100,0,0
2020-03-13,595.0,607.57,502.0,546.62,22640300,0,0
2020-03-16,469.5,494.87,442.17,445.07,20489500,0,0
2020-03-17,440.01,471.85,396.0,430.2,23994600,0,0
2020-03-18,389.0,404.86,350.51,361.22,23786200,0,0
2020-03-19,374.7,452.0,358.46,427.64,30195500,0,0
2020-03-20,438.2,477.0,425.79,427.53,28285500,0,0
2020-03-23,433.6,442.0,410.5,434.29,16454500,0,0
2020-03-24,477.3,513.69,474.0,505.0,22895200,0,0
2020-03-25,545.25,557.0,511.11,539.25,21222700,0,0
2020-03-26,547.39,560.0,512.25,528.16,17380700,0,0
2020-03-27,505.0,525.8,494.03,514.36,14377400,0,0
2020-03-30,510.26,516.65,491.23,502.13,11998100,0,0
2020-03-31,501.25,542.96,497.0,524.0,17771500,0,0
2020-04-01,504.0,513.95,475.1,481.56,13353200,0,0
2020-04-02,481.03,494.26,446.4,454.47,19858400,0,0
2020-04-03,509.5,515.49,468.39,480.01,22562100,0,0
2020-04-06,511.2,521.0,497.96,516.24,14901800,0,0
2020-04-07,545.0,565.0,532.34,545.45,17919800,0,0
2020-04-08,554.2,557.21,533.33,548.84,12656000,0,0
2020-04-09,562.09,575.18,557.11,573.0,13650000,0,0
2020-04-13,590.16,652.0,580.53,650.95,22475400,0,0
2020-04-14,698.97,741.88,692.43,709.89,30576500,0,0
2020-04-15,742.0,753.13,710.0,729.83,23577000,0,0
2020-04-16,716.94,759.45,706.72,745.21,20657900,0,0
2020-04-17,772.28,774.95,747.66,753.89,13128200,0,0
2020-04-20,732.7,765.57,712.21,746.36,14746600,0,0
2020-04-21,730.12,753.33,673.79,686.72,20209100,0,0
2020-04-22,703.98,734.0,688.71,732.11,14224800,0,0
2020-04-23,727.6,734.0,703.13,705.63,13236700,0,0
2020-04-24,710.81,730.73,698.18,725.15,13212000,0,0
